team,opponent,wins,losses
the-bagelers,null,63,5
the-bagelers,the-ancients-are-at-mac-ten-spittin,9,60
the-bagelers,mendelian-nightmare,19,58
the-bagelers,paper-pumpkin-posse,0,71
the-bagelers,little-team-of-horrors,34,1
the-bagelers,cognitive-play,0,75
the-bagelers,team-gen-knoxx,41,0
the-bagelers,petey-piranha,21,40
the-bagelers,golbat-plants,3,61
the-bagelers,we-came-for-the-shirts,65,1
the-bagelers,the-square-roots,12,48
the-bagelers,7-liters-of-darkness,5,63
the-bagelers,tbredblacktree,59,0
the-bagelers,the-deku-scrubs,46,20
null,noobcoder,45,0
null,kingdom-of-afternoon-naps,45,0
null,the-mad-robotanists,0,56
null,chios,47,11
null,wut,66,4
null,420_cultivate_it,54,12
null,binary-tree-stars,43,29
null,nausicaa,0,56
null,golbat-plants,1,57
null,needs-review,0,41
null,something-fun,1,63
null,the-goldman-clause,0,43
null,the-bagelers,5,63
null,the-casuals,57,0
null,nurv,60,6
null,gg-no-re,45,2
null,linymf,44,3
null,paper-pumpkin-posse,0,41
null,bojibbles,72,10
null,u-w0t-m8,1,76
null,the-great-dequeue-tree,68,0
null,failedtomakeateamname_2jpg,0,58
null,rest-in-pepperonis,21,29
null,the-ladder-dwellers,49,2
null,sudo-team,75,4
null,one-man-down,0,61
null,ratchet-rockers,58,0
null,farm-simulator-2014,0,76
null,farally,47,22
null,we-came-for-the-food,24,28
null,lumate,41,0
null,the-ancients-are-at-mac-ten-spittin,30,27
null,mendelian-nightmare,37,22
null,teem-bahd-spelers,0,55
null,little-team-of-horrors,40,0
null,cognitive-play,2,48
null,team-gen-knoxx,53,0
null,petey-piranha,8,43
null,oversized-grow-lamp,0,48
null,we-came-for-the-shirts,26,68
null,the-square-roots,0,52
null,7-liters-of-darkness,14,44
null,tbredblacktree,62,1
null,the-deku-scrubs,0,63
nurv,kingdom-of-afternoon-naps,11,57
nurv,noobcoder,53,19
nurv,the-mad-robotanists,0,34
nurv,chios,15,62
nurv,wut,43,38
nurv,binary-tree-stars,1,45
nurv,nausicaa,0,40
nurv,golbat-plants,0,23
nurv,needs-review,1,13
nurv,something-fun,1,51
nurv,the-goldman-clause,0,28
nurv,the-bagelers,0,51
nurv,null,6,60
nurv,gg-no-re,81,21
nurv,linymf,29,34
nurv,paper-pumpkin-posse,0,13
nurv,bojibbles,14,67
nurv,u-w0t-m8,1,50
nurv,the-great-dequeue-tree,47,46
nurv,failedtomakeateamname_2jpg,0,42
nurv,rest-in-pepperonis,20,42
nurv,the-ladder-dwellers,45,50
nurv,sudo-team,47,46
nurv,one-man-down,2,35
nurv,ratchet-rockers,9,73
nurv,420_cultivate_it,6,72
nurv,farally,34,51
nurv,we-came-for-the-food,0,30
nurv,lumate,52,28
nurv,the-ancients-are-at-mac-ten-spittin,1,63
nurv,mendelian-nightmare,1,64
nurv,teem-bahd-spelers,0,33
nurv,little-team-of-horrors,23,32
nurv,farm-simulator-2014,0,33
nurv,cognitive-play,0,30
nurv,team-gen-knoxx,71,23
nurv,petey-piranha,2,41
nurv,oversized-grow-lamp,0,27
nurv,we-came-for-the-shirts,3,69
nurv,the-square-roots,0,23
nurv,7-liters-of-darkness,3,48
nurv,the-casuals,74,24
nurv,tbredblacktree,15,57
